,PPO,MVO,DJIA
2021-03-05,1113858.6953901986,1193042.5724852348,1223870.2460170973
2021-03-08,1108329.4817409448,1179324.211273571,1235764.5382018653
2021-03-09,1125027.3783525934,1208072.965841668,1236941.8775500292
2021-03-10,1122823.1893848046,1206696.9139375289,1254983.485525549
2021-03-11,1137819.1707768335,1223938.3472108375,1262312.0112444141
2021-03-12,1136489.9965000236,1222318.319867735,1273697.360112687
2021-03-15,1134760.1700920723,1237307.4290124062,1280493.491354187
2021-03-16,1141089.3707630052,1249682.116903196,1275535.202545172
2021-03-17,1139259.052740483,1241416.3712903943,1282898.7152710317
2021-03-18,1127137.4514907426,1226413.2825850402,1276949.7097823974
2021-03-19,1125586.019592244,1221934.9059436554,1267845.3468039634
2021-03-22,1140495.00845551,1240037.9577450245,1271855.419419079
2021-03-23,1140474.6285589952,1238613.069526888,1259887.282640373
2021-03-24,1133868.2816055573,1228736.5481563266,1259766.839299592
2021-03-25,1128664.1864634217,1232038.7336348067,1267515.0573149407
2021-03-26,1147787.9940947464,1249540.8283820285,1285133.0265203032
2021-03-29,1148160.9067040756,1251385.3943094104,1288960.4988342724
2021-03-30,1136800.9839035464,1241629.1112931387,1284903.827472314
2021-03-31,1142335.1859829035,1252258.8242431423,1281585.4502622888
2021-04-01,1159988.8720470285,1263930.0676369402,1281585.4502622888
2021-04-05,1180326.7370668496,1287802.4633588847,1302786.0586263842
2021-04-06,1174145.3630530862,1284676.7038906657,1299016.8726928309
2021-04-07,1180345.3299112062,1292009.4057657905,1299642.5405576064
2021-04-08,1188965.8395486344,1307002.4883861907,1301869.110646979
2021-04-09,1209606.2608622483,1332610.582548837,1313409.8139693025
2021-04-12,1204182.2099524355,1324714.3170348764,1311264.753740043
2021-04-13,1211395.504865201,1338500.360505422,1308618.643141636
2021-04-14,1204577.692822896,1326977.9041512795,1310701.3187293569
2021-04-15,1225503.4746712542,1352886.4839059622,1322556.8292209054
2021-04-16,1229107.9161477555,1356331.8747368301,1328956.6434330677
2021-04-19,1220716.5029474993,1355955.913749858,1324173.3655527493
2021-04-20,1220047.705758458,1346529.8863518268,1314214.1356615503
2021-04-21,1231130.6290046738,1355736.9781449898,1326493.1331358072
2021-04-22,1220729.783373395,1344036.7703260386,1314004.2136195842
2021-04-23,1230455.288547475,1361500.6113132227,1322848.2611229843
2021-04-26,1229764.2804718674,1358960.989326812,1320443.0372061396
2021-04-27,1227081.1931026469,1356647.6528238514,1320571.1458130952
2021-04-28,1214118.4842686623,1354613.1116869326,1314179.0727608316
2021-04-29,1215214.5153260087,1363152.1076692778,1323504.8936273556
2021-04-30,1207179.7388033266,1347704.2909011578,1316296.8112492715
2021-05-03,1206915.128861554,1357379.1452207789,1325556.604575481
2021-05-04,1196866.877407773,1338290.3147400348,1326326.0151544588
2021-05-05,1194708.4703102617,1336083.716776487,1330106.8887215855
2021-05-06,1207268.7097512789,1352256.3825523672,1342471.342529629
2021-05-07,1213875.9725876434,1358364.955280622,1351381.4175733437
2021-05-10,1201494.4060131921,1340591.5218975565,1350021.402030309
2021-05-11,1188840.442165841,1323634.7184983813,1331618.3881387215
2021-05-12,1161253.9805842866,1288486.670081249,1305136.9426364873
2021-05-13,1177475.2231876573,1310309.8745523372,1321989.4477365455
2021-05-14,1198913.3550466013,1325954.5526443403,1336005.5007771517
2021-05-17,1189055.1050119486,1315182.572946728,1333895.503448611
2021-05-18,1180298.7318893594,1305941.173791178,1323516.5812609287
2021-05-19,1187313.473289872,1305563.6084693174,1317116.7670487661
2021-05-20,1199150.942452012,1320512.2766243909,1324425.9398678842
2021-05-21,1197114.1923369148,1313445.6506241271,1329232.5930153488
2021-05-24,1213739.9233812876,1324523.3608296644,1336467.845346804
2021-05-25,1214496.2311585397,1326657.136754041,1333300.95201088
2021-05-26,1216559.6433163767,1326426.931241644,1333712.9031474646
2021-05-27,1211459.3041557015,1318423.5943627877,1339211.2517000195
2021-05-28,1222433.6422214287,1321417.3614709754,1341729.1019040218
2021-06-01,1215770.9744405374,1313414.6624720152,1343512.756217214
2021-06-02,1214126.6826505517,1316497.22351073,1344487.9905770354
2021-06-03,1207871.6808596428,1306457.1436790563,1343578.7837575285
2021-06-04,1224173.4360768595,1320485.8606858077,1350549.7741402758
2021-06-07,1226334.0060947884,1318919.991259683,1345645.9770254516
2021-06-08,1222916.9882496346,1323363.5447631006,1344464.767097338
2021-06-09,1221784.962527131,1321964.8703214645,1338531.243928502
2021-06-10,1232038.0601109017,1322720.070757669,1339273.3327666603
2021-06-11,1233922.5292767037,1329122.9771584172,1339794.1155041773
2021-06-14,1243329.1968105782,1344065.0060949689,1336456.157713231
2021-06-15,1239211.9106548775,1335851.1204914285,1332788.062220711
2021-06-16,1232417.4646477823,1330590.4745337244,1322467.4264134448
2021-06-17,1236938.1110111512,1341390.701799478,1314295.645521663
2021-06-18,1222084.7833793,1329854.8269563685,1293573.0158344668
2021-06-21,1240747.4455484857,1350373.6933694591,1316378.472896833
2021-06-22,1245635.4312075127,1363194.164005556,1316378.472896833
2021-06-23,1241923.4479591874,1358066.5004298487,1316378.472896833
2021-06-24,1251619.8107419137,1361008.3815167309,1316378.472896833
2021-06-25,1250994.222767804,1363764.7698905705,1316378.472896833
2021-06-28,1257668.8403208056,1369291.3323173742,1316378.472896833
2021-06-29,1262361.214180932,1379985.1345876604,1332516.0591121041
2021-06-30,1261006.4919917115,1381897.6671548937,1340683.8935302116
2021-07-01,1267791.26979704,1389064.8465332342,1345774.2374198562
2021-07-02,1286297.9330697756,1408891.8418106702,1351711.7070623664
2021-07-06,1288208.9288279542,1416632.8950609155,1343594.2660773266
2021-07-07,1294273.615303006,1431454.018985469,1347651.089226734
2021-07-08,1280080.2160115938,1416638.6270423378,1337551.9113075577
2021-07-09,1289061.8016340912,1429584.8676436993,1354971.797891976
2021-07-12,1289281.7036919831,1427112.9805100448,1359867.853846901
2021-07-13,1297734.5855436372,1433816.4612957374,1355694.6097241112
2021-07-14,1300346.3654899148,1450641.9650046295,1357419.8258694385
2021-07-15,1295388.2436683206,1452698.2641304529,1359510.3944045075
2021-07-16,1294127.8677786607,1442887.4173976036,1347888.029434622
2021-07-19,1272222.924603734,1412116.9152851999,1319681.3677870606
2021-07-20,1283700.1064128694,1438233.365691204,1341053.0406061783
2021-07-21,1293310.8561263476,1438923.5859906778,1352166.3104721198
2021-07-22,1304085.5408788498,1449871.334274366,1353149.437779289
2021-07-23,1310380.482814061,1467739.799621676,1362409.2311054983
2021-07-26,1309305.6223068056,1466540.1444644572,1365622.723188265
2021-07-27,1300250.3807095308,1452822.193823303,1362288.7118709928
2021-07-28,1293302.471301137,1438231.6359523889,1357330.4230619778
2021-07-29,1298850.21003378,1444823.565476836,1363299.0091315329
2021-07-30,1293296.2885136232,1443963.3197736791,1357509.2286768993
2021-08-02,1292816.4746891297,1438015.3201516392,1353728.3551097726
2021-08-03,1302439.7501050308,1451422.9761265414,1353728.3551097726
2021-08-04,1302006.4300216646,1449112.1992207477,1351960.3349038274
2021-08-05,1312658.4061680078,1453109.4549322517,1362514.116232757
2021-08-06,1316902.9664147997,1450256.5700834887,1368117.3499125706
2021-08-09,1312595.6857720192,1445170.5572080237,1363971.2757431513
2021-08-10,1304247.48580449,1441272.250400884,1370301.115941325
2021-08-11,1306140.133781293,1442415.1885608179,1378861.472702545
2021-08-12,1316969.292748555,1452943.1555279535,1379436.595346804
2021-08-13,1326516.4464178667,1456194.2962463892,1379436.595346804
2021-08-16,1332481.291797597,1472750.5577845112,1384317.0171944823
2021-08-17,1328783.014318898,1457119.1527789398,1373355.3829900913
2021-08-18,1324760.710093068,1439074.4552466902,1358488.4095103943
2021-08-19,1342579.2017969864,1449089.075264718,1355900.5852924034
2021-08-20,1363970.1378573007,1464603.3948889994,1364682.3999417138
2021-08-23,1367872.41209842,1471644.7235879472,1373060.0046143385
2021-08-24,1363757.4053861399,1467109.5587561175,1374249.1074897998
2021-08-25,1366157.5808591316,1458405.403672161,1375772.294540509
2021-08-26,1360768.0065861826,1452508.1428020452,1368296.1555274918
2021-08-27,1366260.051156308,1460614.0364271328,1377726.8615212745
2021-08-30,1369385.781037858,1481435.4590396318,1375550.836652419
2021-08-31,1366258.1995571642,1472464.3148646064,1374031.4442879346
2021-09-01,1367896.3649364975,1477199.2001717458,1372158.5389547308
2021-09-02,1365028.5307730187,1482067.326597963,1377260.5704779483
2021-09-03,1365561.085258889,1488567.8764852118,1374357.9390907325
2021-09-07,1360124.6279632654,1496279.5436791433,1363901.3017291627
2021-09-08,1357047.0393242273,1489969.5134876396,1363901.3017291627
2021-09-09,1348427.2934341554,1482637.7219656839,1355329.2573343697
2021-09-10,1336450.641316369,1453203.9421335135,1344771.6813192149
2021-09-13,1344487.7644275483,1462481.5765592114,1354948.5744122788
2021-09-14,1345301.3903760042,1453233.8130437813,1343602.1590246744
2021-09-15,1361914.0090441369,1462300.3616385295,1352803.5141830193
2021-09-16,1365291.1733028688,1465924.6872643197,1350351.6915193317
2021-09-17,1353307.7612273225,1452487.7945985028,1343885.6979794053
2021-09-20,1329718.8962094353,1428425.4286350473,1320011.6572760832
